real_A1, imag_A1, real_A2, imag_A2, tlast
47cb, fc39, fcce, f87f, 0
f217, 1ca3, 0175, e8ad, 0
8eac, 82df, 812f, 7d16, 0
8c49, 44bf, b03f, fc39, 0
07e3, 3dd6, 4796, 9e05, 0
444a, b7a4, 1c5e, 5bab, 0
1d58, e5b6, 4ade, d78b, 0
6eb3, c337, 5680, d0fe, 0
4815, 9422, 2ff6, e0a5, 0
4141, b85a, 94d9, 5eb0, 0
d383, fc27, 4e5e, 080b, 0
05a0, 03ea, a281, 8671, 0
2544, 56c8, 11e5, bf94, 0
02e0, e9c4, 131e, 3942, 0
297f, e6f5, 841f, eeb0, 0
bb37, 73e2, 6f50, c2ee, 0
7b89, d5c9, 1d62, b07d, 0
95ff, a23d, 2b27, b6e8, 1
b7ae, 4548, 50f5, bb81, 0
4707, 6989, 0892, 370a, 0
db8c, cf88, 0f92, 4544, 0
867c, b468, d8b6, 16e1, 0
5572, 92a8, 0cfe, 5f78, 0
dcfa, 1652, 8567, f438, 0
49de, 0ae0, 3c9c, 7be2, 0
6130, 24e2, 557e, c28d, 0
2d2f, 1916, 5618, 30cf, 0
0b95, f334, 887b, 18c4, 0
661d, a99d, 6983, c782, 0
9978, 43d1, 984d, c77a, 0
9748, 7bb9, 59d4, 2f0b, 0
88c4, a4a5, 05ae, 4faf, 0
d2fd, 53e4, 8431, 9384, 0
aa83, 6191, a112, de8f, 0
7f81, 9209, 17da, 4e65, 0
ea5d, fa55, 38c6, 7554, 0
411b, 3d1e, 897a, 7e64, 0
317c, 3bd5, ad19, ecf2, 1
eca8, e172, 7543, 616e, 0
bf94, 9ac6, 3919, 1e7b, 0
6f9c, 16f0, 5d63, 64d8, 0
4d57, a575, 05f3, b584, 0
42fa, e067, 8d82, c220, 0
8fcf, 6fb4, 75c3, 810e, 0
681a, 334b, 2c15, 9728, 0
27d7, be31, 90c2, 1887, 0
72ac, 3dfb, 7aa8, cc9f, 0
0b94, d39e, cb7b, 4682, 0
ce29, deb5, 732c, 2473, 0
96a9, fe27, ac65, adf7, 0
ebe9, b35c, 803b, c889, 0
de16, c99e, 60e2, a2c7, 0
5a3e, cae7, 59bc, 1041, 0
7be1, ee0a, d61f, a4ee, 0
8dc9, fa65, 992c, 5b25, 0
db6d, 6e91, 20cc, 87c9, 0
7fc2, 5612, e681, 59ae, 0
ea3e, ca3c, 6d94, bb99, 1
6ff0, 39f6, 216f, d51e, 0
c171, 783b, 036e, 616b, 0
6971, 431b, 0e55, 068e, 0
0e9f, 066c, 7cc7, c470, 0
3d1a, f260, 207c, ab10, 0
2f2f, 236b, 5a1d, 8b86, 0
a3c4, cea0, fd81, abb8, 0
7936, f183, 851c, 6cff, 0
ecae, 2a4e, be6b, 9bcf, 0
9383, 5280, 0cd1, 558a, 0
9ba1, d1ab, 9a00, a6dd, 0
78e4, 2833, f96c, 5b1a, 0
1202, 0162, acae, 193b, 0
fbdb, a84e, d34c, b2a1, 0
251d, ce19, 9c42, 4c2a, 0
b7dc, 9ae8, eda0, 4991, 0
31e4, 5ee0, 380f, 9878, 0
beea, 2dcf, 4482, abe4, 0
2234, 53ad, 6d5b, 1a51, 0
75cb, 7231, 41c7, d339, 1
3a7a, 3183, d416, 1b10, 0
ea51, 523c, 09cb, 2595, 0
9e5f, 5b94, 567a, 91b6, 0
18a4, 9c4f, be33, b7f2, 0
8133, 347a, 84fd, 47ad, 0
707f, 0d39, 1b83, 210b, 0
3100, 0547, 09ee, 9214, 0
c594, d050, b9f2, 283f, 0
40f4, a952, 6b80, 0508, 0
2888, d1d9, 6f9c, 7290, 0
c8a1, 2bca, fd16, 8556, 0
091d, 0621, 3297, 3a8d, 0
8f6a, 1b98, 043e, e605, 0
2d6b, 42a3, c905, 2fef, 0
6c41, a9f3, 826b, 92b6, 0
f775, fe8e, cafe, 420f, 0
de6a, 43c2, 2a9e, 8cfc, 0
6ad9, cd02, a7b4, 2474, 0
82f6, 56bf, b9bf, 0032, 0
6de1, 2e07, 60ab, 07b3, 1
bbd3, 5c31, 2134, bf06, 0
7a90, a10a, e502, e5fc, 0
7169, 3e53, 4bcd, 4e88, 0
7b26, 8c42, 6108, cd45, 0
9124, 2652, 47b2, fd58, 0
b1fc, 8f3e, 33d5, 4802, 0
ec64, 6b75, ebb1, f331, 0
097d, abf6, 24d3, 554e, 0
f699, 968a, 940c, 2d3a, 0
203b, cdf6, e178, 962d, 0
00a7, 2bed, f00c, 7b0f, 0
4ab1, b456, e82e, 1101, 0
35d9, 798c, c617, b52a, 0
11c4, 8a21, bb3a, 987a, 0
a837, fde6, 3ce6, 9001, 0
2027, 2414, 611f, 869a, 0
6d02, e7af, 45c1, d589, 0
7bb2, 8e9d, 892c, 0e8a, 0
3921, 215d, 0de7, 588f, 0
b004, b6ef, 1692, 2072, 1
322b, 1109, 23a6, f72b, 0
83e8, 0cfd, a00a, 3c96, 0
44bf, d687, 5d81, 32f3, 0
d4f7, 7d6b, fcdf, 0878, 0
d284, a5fb, c6a9, b4d1, 0
43f3, 59ed, cfbc, a82f, 0
e258, 4984, 2aa3, e6f9, 0
b7f8, 0638, 0006, f005, 0
1035, 84d3, f1b3, 799d, 0
b87b, c371, d359, 6d3e, 0
a9a2, 7fa3, 10e0, cedd, 0
e64e, 35e5, 83e6, 5cd1, 0
8539, b7d5, 0d86, 0f6a, 0
ec5b, 2440, 6f91, 0b4e, 0
80d7, 9efe, fb55, 579f, 0
8b7c, 0e82, d417, 49b8, 0
b06a, 49b7, 4d96, 094f, 0
b38b, ea1c, a4ba, 8078, 0
19b0, 956b, 9421, dec2, 0
bb52, 164c, f206, efa5, 1
afb6, db51, 54ca, 59e5, 0
7284, 7917, d0a5, 6dde, 0
e5e7, a508, 1949, 8635, 0
a39f, 4656, f801, 3aa5, 0
0a97, dc69, 2880, f760, 0
87d0, c815, c2d1, 1758, 0
0c67, 0b1c, c8d7, 7c07, 0
e586, e840, 30e8, 58d5, 0
42cd, 6b98, 7935, 7a08, 0
a9ac, db5d, c855, d848, 0
f7d5, 9ccd, 5a9e, c701, 0
17f9, c14d, 66bd, d100, 0
95d8, a7da, 5676, d624, 0
ff44, 5027, 4095, 0c50, 0
46e2, 212f, c256, c903, 0
a242, 28cc, 7277, 6a75, 0
333f, 2a03, 58dd, 2bb1, 0
54aa, 0c1a, 57a5, 4915, 0
035d, c934, 46f3, aed9, 0
813b, 98e9, f948, a411, 1
ae34, d7fc, 97d1, c1c9, 0
87b3, 6897, f017, e090, 0
a139, 329a, cfdd, 3bc7, 0
d0cb, 879f, e110, 483f, 0
3b45, fb34, 7ede, 82fb, 0
45e1, 2d49, 5e96, b8c2, 0
a608, e709, 72a9, 912c, 0
4bb9, a772, c11a, 34a5, 0
aa54, 0fa8, 8c6a, 603c, 0
3793, 7306, 54f3, c709, 0
941c, 7593, 3050, 315b, 0
e4d4, 7d6c, 1894, a396, 0
50d9, 5604, b6f9, dff0, 0
07ac, 2771, 0900, 55fb, 0
7285, 5e81, 8e46, 321c, 0
d112, 5d1f, ee59, 31e4, 0
1402, 430d, b0d4, 5a75, 0
b0b3, aa4f, d3e9, cb6a, 0
e46b, 9458, 7009, 26a5, 0
7fad, 0246, 58ec, cc73, 1
8741, 1a25, 4858, 6ebd, 0
eefa, 3b3f, 8076, a11e, 0
a4bb, 2ec0, e26f, d929, 0
4edb, 8fa0, 2c26, 36ae, 0
8073, 2d2f, 8a1c, 2009, 0
98a2, ce9c, ef4c, 5567, 0
ebf2, d929, aca4, b873, 0
bc30, 39fb, 154d, d1bf, 0
74cf, 9b6a, b0e8, b829, 0
df19, c0a4, e236, 872d, 0
fdc7, f05d, 61d6, 2e22, 0
c47b, 1651, 8079, c941, 0
1387, ce98, 2e21, 87e2, 0
0521, ef7a, c853, c8d1, 0
7a96, cf72, 5247, 9cfa, 0
2926, 6a7c, cb4a, 9256, 0
58a2, 288e, e3dd, 14bd, 0
964f, ad4a, 7379, 82ce, 0
ec41, 2525, 55d2, 57ef, 0
8a9a, 8909, 63e4, 90e9, 1
23e1, 6852, 8a71, 9293, 0
ce7e, 1cdc, c526, 22ab, 0
9da0, 4015, adcf, 4f01, 0
749e, 1495, 0719, d233, 0
52fb, 7e98, 3c2d, 093b, 0
a6f6, aa76, 6ae9, 5db7, 0
e494, 3575, 87d5, 08c2, 0
f677, aaad, 52ff, 4b29, 0
3ce1, 944f, 58ee, 1613, 0
602a, 2252, f83a, 61aa, 0
794d, 0d2d, decd, f174, 0
394f, 45b3, 935d, 97d9, 0
1f77, 8e0d, ab82, 6df3, 0
5793, 8bf1, 2c05, eb27, 0
e0c7, 151f, 1712, 06d5, 0
660f, 4301, 2af4, 30e1, 0
49eb, af6d, f344, 8dfe, 0
68a6, 0934, 4abc, d725, 0
ebe1, 12dd, f4af, 4af3, 0
9212, 1add, 64fb, 81ad, 1
e8bd, 809e, 3ce5, f791, 0
3193, 0e56, a36f, 82a9, 0
47e0, 0e44, 8168, 17f2, 0
22e8, 92e0, 3d0f, cd37, 0
14f1, e59b, 4f8f, 5370, 0
7987, 45ae, 1091, 6a79, 0
0796, 1291, 8e41, c471, 0
c9d2, e72f, d2b6, cbc7, 0
b23b, 05f8, 6f00, 97ac, 0
b722, e47a, 5a4d, 39cf, 0
f00a, 9128, 2fd0, 37ab, 0
1123, 474c, aad0, 1ef1, 0
6a63, 43a9, 2dfe, e049, 0
d0eb, 118b, 945f, 2173, 0
c7f1, 1d4d, 0f9d, 046c, 0
1e70, 16c0, f583, 2673, 0
b86f, 1ddb, 2a41, 5f0a, 0
ac09, bd62, ef22, d4bd, 0
8434, 4a84, 87dc, 0ebb, 0
042e, 34a5, f141, 8753, 1
8d1d, 6a01, c399, 339b, 0
d0b5, dc72, a453, 8b8a, 0
d094, 6939, 8871, 63e7, 0
fe23, 9e7f, ca10, 2c30, 0
8e3e, 88ea, 64d4, aa35, 0
9851, 678d, a9c1, 00a8, 0
bd34, 6e44, 7d2d, 0825, 0
484d, 1709, a19d, 1fbe, 0
5e6b, 8e73, f7a0, 76ed, 0
1fbd, 61d4, dec2, 11b5, 0
d520, 5979, 2855, 13e2, 0
c570, 1198, 5fa1, 6ffe, 0
882f, f5e8, cb7d, 8fc2, 0
5e8c, 914e, c5d8, 28b3, 0
bf66, e21a, 94b5, 9972, 0
7c44, 3d8a, afb4, 1bd1, 0
a0a9, 05b7, 428f, 4de9, 0
086f, ff2b, 68db, 8846, 0
e0eb, 5487, 2505, 059d, 0
48a4, 844b, 0477, cc32, 1
9eb7, 0c86, d7d0, 3003, 0
e977, 9390, 6514, eeb8, 0
4c4d, f96c, 0110, d2df, 0
c0b2, 5987, 0fed, 8bcb, 0
1664, e730, 4a12, cf73, 0
8967, bc9f, d9d6, ed37, 0
2e7f, 0a9e, b85d, 1d96, 0
53aa, de70, 52a4, be36, 0
332d, 422e, 9377, 583f, 0
da0d, 44df, 950a, 61fe, 0
fd38, d8a7, cf49, 6da1, 0
c8bc, 77aa, 5b01, 1008, 0
c416, db16, f96b, cd90, 0
43d1, b175, d301, 4528, 0
1599, 974f, f5c5, 01d9, 0
09de, d030, 2c96, 1cd2, 0
7d9c, 7555, 12f5, 2fc3, 0
44e7, 2372, 57c3, 957b, 0
160a, b548, 9369, 36cf, 0
4a75, d547, c285, cc62, 1
24df, d098, 5dab, 5b49, 0
e852, bc4a, eabc, 0bce, 0
c2e9, c477, 3e15, f5e3, 0
1bf5, a473, 91e7, a715, 0
21fe, b1a0, 755c, c17b, 0
425f, 5558, 2feb, e443, 0
bbe0, 3ebe, c291, 76ef, 0
c9ea, 3e6d, 3c51, 04f8, 0
85d0, c415, fa86, 9ef2, 0
ca9b, 9d09, 5f12, 6a36, 0
daa5, 8c8a, d292, f4e4, 0
264e, c6af, 0f9f, 6798, 0
1b8b, 2848, bef0, caba, 0
4193, 206f, a26e, 483d, 0
6265, 12f8, bcd4, 8e50, 0
653f, b34a, dd19, b68a, 0
93fd, e8cc, 3026, 46cb, 0
069f, c8c8, 89fd, 3261, 0
8b8f, 5586, 3050, 686a, 0
4bee, 41e1, c2c5, 1bdf, 1
78b1, 3f37, 0352, 7ab3, 0
a492, 1733, 7596, 1e83, 0
5b5e, cbe2, af38, 72c4, 0
4315, 50c4, b363, dfae, 0
42a0, 647b, 28bb, ba41, 0
f59c, 16ee, 3d35, 1174, 0
e253, 50af, dfd6, 0f61, 0
9b80, 0e1c, 79df, c7f6, 0
f499, 5087, 8904, 5f48, 0
a5b2, 89d2, d408, 587b, 0
cb29, 5935, 26a5, 25e1, 0
e163, 9d4f, 8a13, 3942, 0
6cae, a6b3, a2b8, c449, 0
b187, 3a60, bd1e, 9f3b, 0
27b1, b3b4, 5bfe, a69e, 0
e4ec, 3ced, 6a1a, 2afb, 0
b188, 5dfe, 81f3, d628, 0
8820, b583, bf06, 1e20, 0
4d43, 3a8f, 1c17, 467b, 0
d036, 1d01, 7c08, 3ba1, 1
fcc7, a368, 6554, 3866, 0
db56, afe9, af93, 5ac7, 0
b69d, e57f, 97f0, cec4, 0
ba95, d603, 8e7a, a824, 0
43c8, f56e, 8c32, 93bd, 0
e569, 9a59, 2ec6, 3f82, 0
5299, aba4, f9ba, 08c2, 0
0668, 2432, 6d50, f434, 0
9a4d, 49a5, e94f, 4adc, 0
8c63, df53, 5eb8, b802, 0
705a, ce7d, 35c2, ce77, 0
1d5f, 65cb, 713e, 3b45, 0
7dec, 3971, faec, f5bd, 0
fa0e, e81d, ef42, e7b0, 0
7b8e, afb5, 0317, c06e, 0
1272, 8d35, 0644, 14c5, 0
bb85, 71a7, f813, 4eee, 0
9df5, ebad, 7562, 8ce9, 0
a160, 189c, 5b28, a614, 0
3de7, 0377, ce37, fdcd, 1
3809, 11c9, a8d2, b864, 0
6172, 5fd2, b41f, 63dc, 0
82ba, bdd4, a66c, cd32, 0
1250, 9e18, 752b, c004, 0
78ba, a6c2, 3fa9, 6588, 0
089b, 8f3b, b4da, 9ea6, 0
900e, b340, 2a6b, 2a4a, 0
108f, 5e44, b835, d3d5, 0
ba66, 4557, f305, d37b, 0
f0c9, 6e8e, 70bb, 5352, 0
9952, 94ac, 14f9, 0cda, 0
a08b, 91e4, a5d1, 2510, 0
4d37, 7a30, 2128, 585a, 0
c140, 058e, af2e, 1851, 0
fffb, 49a6, 9538, d4bb, 0
05e3, cf4c, b6c4, b61f, 0
8505, 9e57, 06c4, 202c, 0
6083, fc45, 2aac, c358, 0
f5c9, ea4f, f581, 79c3, 0
7adc, 6a74, b728, a94e, 1
6d8d, 9847, 3e44, fdfe, 0
87b6, 902a, cb42, e6df, 0
3854, 5104, af31, 5cd3, 0
e04f, 9186, a9b7, ae4b, 0
1688, cc32, 9367, 6cf1, 0
d477, 499d, efdd, 5270, 0
5d6b, f4d4, c589, 2fc3, 0
5add, 6900, bcb3, f81a, 0
0c50, 0cf8, a584, 634f, 0
8b1d, ede1, f887, 7b7b, 0
0898, e628, 3a84, 8847, 0
5344, 9034, e432, 5323, 0
10f7, 3758, a7f1, 28c8, 0
b820, 384c, a43f, f2c2, 0
d2c6, 3dbd, 678d, 12df, 0
90a7, 307a, da38, 4c43, 0
dfb2, c2aa, a8d2, 21fc, 0
c22f, 8287, 5f32, 4a29, 0
c2b7, d9a0, 4dbf, 8f3f, 0
f8f4, 656a, 3bf1, e3b0, 1
812f, 9b08, dccf, 6f7e, 0
87df, cd0e, 6ccd, f9ea, 0
e070, e13e, 66ae, e6f9, 0
aa5f, f903, 0d3d, b0a5, 0
ce64, b8fa, 0561, d64a, 0
c51d, d21c, add4, f0e4, 0
cea5, ba13, 1be2, a353, 0
1582, 8592, 3a5b, 7af7, 0
09dc, 83f6, 603d, f08c, 0
4a69, 48aa, f92b, 4dc8, 0
df6a, 84c6, 4090, 5152, 0
4083, 6718, ae59, bb45, 0
270f, b254, 8576, 2429, 0
0d4b, 1be9, a118, c200, 0
59d5, 05da, 5c2c, 9fc5, 0
ecdd, 34ec, 4bf4, e835, 0
130b, da6b, b006, 9154, 0
44ac, 4246, abd5, 9c19, 0
0a1d, 016d, 2cf1, 0790, 0
7bf8, 4409, e65f, b625, 1
2884, adb1, 3c8c, d43a, 0
ad55, 8de6, b410, 4328, 0
2037, bf43, 44a5, 41ba, 0
605f, 66dc, bdc4, 7615, 0
ad9f, 7b80, 1d1d, 11e4, 0
2544, fbee, d884, 1bc6, 0
6255, a50e, 38fe, dd76, 0
c022, 02fc, 9e02, d7f2, 0
1612, 7e57, ae48, 1998, 0
fca3, 4337, b1a1, 068f, 0
56ce, 774c, dc4d, fc26, 0
8d3b, 6e0c, e786, 27d8, 0
3d4d, bc8a, b9cc, 89cb, 0
0df4, 98f7, 2b47, b09f, 0
edf1, e8e7, 750b, 6dc1, 0
479b, a194, ee81, 153e, 0
e58c, 412b, 4dc6, 83f2, 0
db73, d91d, 4c55, cb2e, 0
28d3, f325, 7ec7, 8b96, 0
e4e8, b307, b639, 4b73, 1
53fd, dae0, 58c6, e204, 0
4ed1, beaa, 28df, c19d, 0
68c4, 9ba8, 4797, 78d7, 0
248f, 9cbf, dbca, 291a, 0
20f1, c467, af23, 015a, 0
9e54, c432, 829b, b2b1, 0
6b41, 6fa2, 95fe, 9ab9, 0
1fbd, afa9, d458, 636e, 0
c1f1, 01e7, cd03, dceb, 0
7388, a5c9, 01ae, f426, 0
8bd4, 6bb2, e2f8, 9096, 0
855b, 6df0, 6ff2, 59cb, 0
968a, a302, a8d8, c789, 0
0491, 5f1e, 479a, 6973, 0
60ef, 832a, ad6e, 8f4d, 0
e6f5, 38d7, 4e27, 1daf, 0
0fb2, 60ea, 0ff8, 105e, 0
1920, e32f, f856, 2b13, 0
9336, bf16, dc0f, d5df, 0
e438, 9c9a, df2c, 89ad, 1
5b5d, f50d, 3f99, 1480, 0
668f, 599a, da64, bf5a, 0
7394, d908, f24b, 6f97, 0
6669, bd0c, 88b0, 1086, 0
81ac, 8d0a, 3a5e, 612d, 0
8abc, a28d, 1f12, 7e1f, 0
5ef2, 1400, a034, 723d, 0
f1c4, 6784, b728, fa76, 0
f14a, 456a, cef2, 9fff, 0
d4a2, 3442, 87ec, 906c, 0
708d, ec23, b392, e2fc, 0
367c, 7535, 9143, 0ee9, 0
705b, 416e, 800a, 6c23, 0
07ec, ddb2, 22ec, 6f2e, 0
8595, 0cf4, 4d80, 5326, 0
5204, b8af, e4f3, aeff, 0
c999, c185, c342, e4a2, 0
5e0c, 3c39, c8a9, 69ab, 0
5c36, d0c7, 36b1, 08bf, 0
0cf6, ec22, b1b3, f393, 1
a956, fe89, 0c4d, 1c7d, 0
9780, 7c58, 47da, 9514, 0
a256, ac17, 0f12, e083, 0
9261, 7339, cd3b, e7ac, 0
c4d3, e1e0, f5ea, 2ff7, 0
8a42, f298, 6bc0, e7af, 0
3e7b, dc21, 62dc, 0df1, 0
71e0, a4fc, 6124, 1e46, 0
b8ab, 510e, 7867, eade, 0
19be, ae84, 4096, 5849, 0
efa3, 553d, 83fb, 0d2f, 0
ac6e, e803, 7e09, 502a, 0
b1e4, ebe4, f4ac, d0bd, 0
b06a, 0883, 053f, 5bfe, 0
6e0c, ee29, 96c2, b7a5, 0
fd94, 809f, 48fc, 9d88, 0
4bdb, 2a26, 37ba, 95fc, 0
af4f, c1bd, 0b9f, a796, 0
ba50, 1788, 3e7f, 4d5b, 0
598c, db9c, 2ff4, 76e7, 1
4f8e, 8a35, 20ff, 988f, 0
65cf, fffe, 18c6, 4975, 0
d8c2, b5d8, cbb5, 0db8, 0
8412, f9da, 4832, 3832, 0
875e, 276f, e1bb, ba7d, 0
5981, 8c89, 7c19, 8340, 0
7086, 5bba, b483, 9ec7, 0
4340, 8a1d, 479d, 220a, 0
773e, 23fb, 5852, 83e5, 0
fe22, 01a5, f616, 70b4, 0
0e10, 13bd, 2dda, 7fe3, 0
26f8, 6109, 4c12, e0d3, 0
791e, af32, bc4e, 652b, 0
675a, b393, 4091, 170d, 0
8669, a1c8, 6b88, 55c5, 0
1306, 527b, 7ea0, fb7b, 0
3ab8, 3c3f, 6209, 8f37, 0
a6d4, 64bb, 00de, f5d8, 0
8cab, a8e1, 8181, d197, 0
08f1, ec1b, 83dd, 68ff, 1
1ec4, 3f56, bfa2, 485e, 0
ef8c, 0b17, c1d5, eee6, 0
ea73, 069e, b5b1, 1386, 0
c902, e81e, 14a3, 2684, 0
67b3, 0e95, 55cc, 8873, 0
2eca, 3b0a, 5a47, e76d, 0
9ab1, cb23, 24d6, 757c, 0
955f, 48d8, 7c28, 1873, 0
836e, 9369, 7a9e, 6edd, 0
6b33, f8c0, 2ec0, 6fe1, 0
de19, e62f, 4914, 4177, 0
ec09, 693e, d94a, 09f6, 0
1361, ed92, 47cf, 5304, 0
af9f, 71f0, 8be1, 82c0, 0
85b1, e78f, da53, 3f1b, 0
2872, be14, db64, 9a60, 0
f56a, 5f63, a136, 8c65, 0
b332, fe76, 7b74, af89, 0
b24f, ec6f, ea6e, f90c, 0
318d, 0d67, e80f, 8277, 1
f618, 9abc, 3415, 3c87, 0
37f7, 165d, 0b45, 3697, 0
75e9, 9d64, c12f, 30a2, 0
0765, bfd5, e4a3, 6b7c, 0
6f77, ea07, be9f, 7833, 0
7d55, 3728, 152b, d434, 0
f739, 5ea2, 8d81, 9846, 0
dd21, 50bf, 1a2f, 4e78, 0
9720, bb82, 8a3b, 2ec7, 0
581d, d8a9, 5cc6, ac5a, 0
e9e8, 75ea, d7d6, fb23, 0
41e1, cd23, 9cbb, 7078, 0
0dd5, a779, 17ea, a359, 0
f9ea, 3e93, 214c, 28de, 0
c43f, c86c, 4808, b1ac, 0
a2a1, d42e, 3c8b, 2061, 0
93e4, 8057, 4aa5, 1ee8, 0
58ba, 105c, 2611, f0e3, 0
d648, f1b2, 6972, 28b0, 0
2c8a, a94f, 1b27, f278, 1
ffaa, acc8, 90f3, 73b9, 0
0bf1, db1c, 634b, dcbd, 0
b982, 6372, 6864, f563, 0
9f7c, 91b4, 485b, 54af, 0
fc36, 97be, f8d1, 4a68, 0
5fc0, b4af, 4bcf, f0e6, 0
2434, 1d7d, 602a, 1fc0, 0
f2bf, c5ff, 2c18, 749b, 0
a31c, 3f6e, 9205, 29d9, 0
a423, ce44, 9fdd, c438, 0
7b8a, 43f3, ece4, 3920, 0
78cc, c0bd, 485c, 0fa2, 0
edcb, 2bc7, 16d2, 7914, 0
418b, a1c5, f8dd, cd06, 0
0eff, 7143, 88a6, ff3c, 0
41b3, f1d0, ae19, c8b1, 0
79d5, dba5, 6e8b, 92ff, 0
8ab8, ab78, 173c, 9c84, 0
d9db, ffc3, 019f, 9347, 0
fa05, f3c1, b7eb, 7f05, 1
16ad, f0af, 675b, de38, 0
a99f, 2168, 054c, 83e0, 0
ad11, d064, a988, 3708, 0
3f60, 6bfb, a4c4, b7f5, 0
71fd, b92c, 9066, 304f, 0
2871, dfde, 5ac9, befa, 0
0b38, cee2, 7975, c41e, 0
18ff, 89af, 6dd4, a1cf, 0
bc0f, 1aec, e8d6, d81e, 0
51db, 55fa, 66cf, 411f, 0
49da, 1697, fc08, 63a4, 0
16cc, dd0b, f83c, 35de, 0
efae, a3cf, aaf7, bf19, 0
0cbb, 9dd5, 9536, f38e, 0
da5c, 7b30, 2216, 6e64, 0
7eeb, 0aac, cf9c, 1d9c, 0
dd6e, 9625, f763, c21f, 0
7756, c18f, b608, 218f, 0
8655, b5b4, 805f, 320e, 0
4720, d08a, 4c2f, e756, 1
1a4a, 4293, b758, de57, 0
201d, 9787, d01b, 2f6c, 0
850a, 77b7, 4083, 9966, 0
51d9, 1be5, de24, 8c33, 0
0497, 651b, 1abd, 5e8c, 0
68d0, b1b3, e228, 26e0, 0
9e5e, 7cf0, 0cec, 1c46, 0
7236, bdc7, e2ac, ec04, 0
6d52, b932, 2a59, 00f2, 0
9845, e6e9, 83c4, aa05, 0
ea4e, 47e9, 5028, 97da, 0
d2a7, 56d6, d990, 2f71, 0
58a3, e8d5, 372b, a486, 0
72ac, e703, 7579, 0759, 0
3aad, 4591, 01e6, 80ea, 0
2f10, bfc6, 2a89, ecd0, 0
2433, 5da0, edf1, b96e, 0
d0dd, 2ea3, 5978, 28f1, 0
3b6d, 7a35, 277b, 00cb, 0
a85b, af7e, 0117, 199d, 1
78ba, 933e, 662c, 7f25, 0
14c4, a77b, 2602, 8ad9, 0
77e7, bf4b, 7ba0, a38a, 0
8a9c, 9448, a9f0, b913, 0
b04a, 5a68, 0281, 1540, 0
050e, a83d, 2099, 2bcd, 0
240e, 1ddd, 4ccc, 3923, 0
d73a, 0748, eaf2, 0122, 0
25f8, b0f4, 8e0a, 2506, 0
dafe, 427e, 04e6, 894f, 0
59b5, 1d70, a271, b1a0, 0
0af5, a6ed, ddf2, 3fe1, 0
2c4e, f463, 3255, cee4, 0
c1ae, 2e9d, a12c, 3fc1, 0
9f10, c800, 492d, 5a1e, 0
8a65, 1ff6, 8ce1, 996f, 0
634f, 7114, 50cb, 1907, 0
40d0, 1119, 5def, 3879, 0
4d54, 316f, b268, 1197, 0
f100, 7a84, 1b7e, bc30, 1
b40b, 5478, 7fea, 6fca, 0
adde, 1135, 4cfe, 7f2c, 0
ce69, c292, d2aa, e59e, 0
59ad, 48d6, 8670, 28f1, 0
