real_A1, imag_A1, real_A2, imag_A2, tlast
fde8, 9a3f, 1e07, 1b27, 0
06f2, ec5e, e8f2, 3170, 0
8cea, 08b8, 1f00, c9c7, 0
ce7e, c8dc, 0990, f6d5, 0
6d46, 056d, cc2c, 31df, 0
f258, fe88, e3fe, c144, 0
0604, 2aee, bc2e, 0e4d, 0
bfa6, fcbd, cfdf, cf95, 1
279f, eebd, f100, 2307, 0
d392, b034, afef, 1c29, 0
da37, ddfe, fdd9, 055a, 0
eaba, 075d, 0c64, f511, 0
773b, 05e7, 00de, 820d, 0
a3c5, e884, da03, d63c, 0
dd24, e507, 0d33, 54c9, 0
4653, fdf7, e05a, 3c05, 0
1bd1, 0187, 39aa, 1135, 0
18f5, aa42, 13bf, bd3f, 0
ee1c, a607, 084e, d858, 0
fcce, bb8d, f9c5, 64ec, 0
e7d5, 1452, 2b35, dcd7, 0
ff25, fb3b, f1f8, 6b87, 0
18c2, c1fa, d6d8, 1744, 0
09ae, 0c8e, d9d0, ecee, 0
debb, f7c6, 3549, 4699, 0
a3ab, 178d, 5631, 191f, 0
28a9, ad20, e6f0, c98e, 0
061f, 63e2, c5e1, 0ef9, 1
b933, fe7b, 4aba, 063b, 0
eebf, 5848, e8c4, 1fce, 0
d58a, f9fe, 2a6b, 1ad9, 0
e90a, 9d72, e0eb, f7cc, 0
6165, f40d, d6c3, 363b, 0
e354, f9a6, c898, bcd0, 0
e081, d5a1, 1fa3, a3c1, 0
1e27, 4309, 4979, 0c06, 0
f5f4, dcde, ed5c, bc8d, 0
ff65, f3d0, d0a0, 4825, 0
5e40, 07dd, 5101, 1883, 0
552d, 115c, 1797, 501d, 0
8dc8, 0981, 1565, 4470, 0
0df1, 694c, 2501, d552, 0
ec90, bf8d, 7426, f857, 0
f9f6, a479, 4030, e142, 0
08c5, 8944, 3320, 1b46, 0
0da7, f804, a8f3, e1b9, 0
fe02, c0e4, 7a75, fc11, 0
052d, c958, 1fed, 32fb, 1
e70d, fa65, 6b59, f616, 0
1267, ad2d, 0d4f, 2bca, 0
4346, d3aa, 611e, 03bb, 0
069a, 53f1, 2245, 2838, 0
ceb7, ee50, 1a4f, 582f, 0
6ff3, 003f, 85a6, 0498, 0
4db3, e599, e19f, b58a, 0
34d3, f304, bc1e, d4a5, 0
e5a8, a7ad, a8fc, dc5d, 0
ef99, e405, 08ff, 3d84, 0
d66f, 0846, 4bd0, d8a4, 0
33bf, 3598, 00c9, 52d2, 0
cfa3, e3ba, a462, 2427, 0
d3da, f5c4, 01d5, a0f3, 0
47ac, 1293, 24be, 34ff, 0
46ec, 34f6, 1899, bd87, 0
c9b2, c417, 9f04, fa29, 0
db01, b66e, 2bb6, 4c82, 0
14d8, 6aea, c66a, 2018, 0
25c3, 1001, eb6a, 58fe, 1
e503, ab0d, d9d8, 04ba, 0
a49b, 1cd6, d102, 326d, 0
a9ba, 132b, f58f, 03e4, 0
041a, 0a86, 5c2c, 209c, 0
daa3, e843, c54a, 1a3a, 0
d6b3, 05e2, 0d2f, 674c, 0
46ce, ea92, 2b64, 28e5, 0
43da, 355d, 8c0f, f90e, 0
e130, 0b7e, 114e, ad1d, 0
0cff, a082, ced3, dba4, 0
495a, e4fb, 5f92, f992, 0
508c, d7a8, 2a43, 30d7, 0
0850, 09b2, c9ba, e2f5, 0
29c7, d215, 1056, c2f7, 0
0665, 2b82, 0bca, a80c, 0
f186, 569e, 2df9, e468, 0
4862, 167e, e844, b035, 0
09a4, c88e, 07cd, 4c4f, 0
c510, e744, bc2a, 2985, 0
8c02, 01cd, f580, 3747, 1
047c, 35ff, dc83, f793, 0
e1ba, cc0b, e850, f21b, 0
5e9b, 0307, 9d9e, 0be8, 0
c1d6, 2587, fce0, 44ee, 0
59a4, 252a, 6158, 19ab, 0
ce5d, c124, 02c4, e1b9, 0
15dd, 1b24, 3bed, ce01, 0
055e, 350e, 3727, 0ee8, 0
f523, b42f, 3844, ccc4, 0
02d0, 2b58, 8eea, fe86, 0
ce6c, fa36, 3be0, c136, 0
f861, 017e, c96e, fc05, 0
b9e9, d581, 0f1d, f522, 0
3807, 0a9c, fc7a, 3375, 0
f4e6, 6127, 7570, f7db, 0
fb02, 038d, 0687, 3b89, 0
cd54, 1116, 4ed1, dbcd, 0
1bee, b115, e614, 3e60, 0
961c, ecdb, dcc7, dcf9, 0
e013, b20c, d384, cbd1, 1
f3fe, afd1, 0fe3, 3117, 0
0dcd, 933d, e57f, 007d, 0
57de, e675, 4d2b, 015e, 0
888e, fc4c, b61f, e8da, 0
4a97, 2445, dad3, dd7b, 0
a09d, eea1, 3dec, 0a17, 0
2bed, 3f89, ef71, 03c0, 0
2ec4, daba, e7c3, 3d11, 0
cff9, 396f, 4c97, 1f5d, 0
d6de, 08e8, da5b, 442e, 0
e9b6, ea5d, ca73, ba7f, 0
007d, 4b2e, 0369, eb97, 0
a84e, de27, 4260, 0877, 0
cdf3, bc2f, a9da, eea0, 0
d529, d30f, 5673, e674, 0
01f7, dde3, 92be, 0c24, 0
bd57, d5a8, c7e4, f25b, 0
8976, fad9, 42af, 3425, 0
0be2, 2d3f, daac, 333b, 0
b37a, 0376, 1b82, 04f0, 1
de66, 1091, f298, 163e, 0
c873, 448b, ee50, 4e46, 0
371c, 0da3, 1547, 483a, 0
d6cf, abc6, fd55, fa34, 0
1645, bc40, 08ec, bdbd, 0
b110, f503, 440b, 13c7, 0
15ee, 3396, 08ce, de2b, 0
d8e0, df18, 0801, f806, 0
ba4f, 357c, 43f5, ca58, 0
bdf6, 057b, 204c, 4cf3, 0
9500, 14a3, 2102, efdf, 0
0e1a, 27cc, f05c, 6c76, 0
194e, 6179, 00f2, f188, 0
1bf3, f7b3, cddf, c291, 0
8feb, 0f14, 297a, 2e25, 0
ccff, 4183, 0ee8, 3ad1, 0
02f0, b35a, d48e, 2224, 0
312d, e4b8, 6d67, 1221, 0
2873, 4223, 468f, dab0, 0
e8cf, 2d7d, f0d6, fed0, 1
3a7d, ea33, a8a9, fd73, 0
fcb7, 75ce, b164, 1f42, 0
df91, 3a89, b676, 3041, 0
f4fb, 515c, 1953, 2152, 0
1717, f380, 1890, 0ff0, 0
dfde, a7f3, d5bd, ed15, 0
00a6, 0bc2, a668, 226f, 0
fea3, e6e3, ec0a, 44df, 0
eb9b, 5733, ff97, 799f, 0
18d9, 3d7c, 07fa, 2fb2, 0
d27c, 35af, b632, ef31, 0
2b56, eca3, 4adf, 1bdf, 0
f6ff, 9ed9, 4029, 164d, 0
d84b, d78f, d98e, 1a23, 0
ed27, cbf8, 0357, 3a54, 0
e587, 4345, 6e76, fbff, 0
049e, 2ea1, 1696, 4247, 0
3062, dbb8, 505d, f8b8, 0
e649, e2ec, fae6, b3f3, 0
0bd7, 72ee, d565, 3154, 1
c318, 14e4, accd, 14fc, 0
7072, 07db, f83d, 17ad, 0
1617, b750, fa2e, ca0b, 0
2496, ac35, cc69, 14a8, 0
2009, 1b3d, 7df2, 00ed, 0
3995, f3b4, 0bac, ad16, 0
2081, 3978, 8f42, fe16, 0
addd, 066b, 39c6, 0521, 0
2302, cd56, 09ad, 9617, 0
1dba, aab4, b90b, f202, 0
fb29, 8f45, cf2b, ff7b, 0
3120, 4c4c, de15, c581, 0
536f, 0296, cb75, 147c, 0
178f, 0fe3, 2f7e, 267e, 0
f5fe, 977d, 51eb, 1fcf, 0
b9fa, 1719, de3b, 101f, 0
e87b, 2b88, ab30, 05a5, 0
fcce, 527f, fbc1, 3057, 0
280a, bc62, 24b2, 4b57, 0
bf07, 3eb4, ed51, 463d, 1
2f4d, b68e, a476, ecce, 0
2623, eae4, 1054, 6f36, 0
4503, 1643, fb5d, 2234, 0
a063, 10c3, 0544, ce96, 0
565e, 292f, 4af7, 2aee, 0
e503, b39f, ccf3, 225a, 0
e28e, f69c, b28c, 05e8, 0
c11b, fb16, 21c7, f386, 0
934e, f7e4, 03a1, 4b78, 0
cfdf, f0c6, b4b2, d27c, 0
f94b, 08ee, e626, b804, 0
28eb, 129a, 2464, 5b23, 0
0ef1, 2278, 24ff, 5320, 0
fa4e, f52d, c892, 003f, 0
5592, 2504, 5aa7, f7a1, 0
b62f, df55, 5130, 1c7a, 0
180a, 4098, e790, fc4d, 0
a1cd, 0b7e, fb24, 87ab, 0
f74d, e38e, a920, fef2, 0
89d2, ff38, fa67, 9683, 1
ddc8, 461a, fbef, 8e82, 0
f5ad, 272f, f3e9, 2ec3, 0
aec6, eedb, af67, fe68, 0
bb67, 3005, 135a, 1a73, 0
15cf, 9737, e687, dd4c, 0
574a, fe40, 9bb0, 0699, 0
0d05, 2871, c84c, 4077, 0
25e5, d092, 03eb, 4f14, 0
1768, 5449, c880, 216e, 0
bec2, 1eec, d30e, cb48, 0
c9f0, bcc3, 0954, 17e0, 0
f9ce, 3f81, fdc2, 959b, 0
d6c2, b74b, 0cbb, 6139, 0
f1c2, 9a2f, 0b96, df91, 0
faf3, 1a2c, 0ef4, f7e2, 0
ee79, ab78, 02f7, d216, 0
fcac, b2c1, c0a1, cd5d, 0
c713, 2fb9, ef10, 39cc, 0
137e, 00a1, 2b22, e02f, 0
2989, bb9b, 0cac, 71a7, 1
b4ae, cbf1, 1a3b, dd56, 0
119f, 1ff5, 1063, 930c, 0
1cce, 2b12, b4bb, ccad, 0
251c, 4804, fadd, 37ec, 0
fd46, e855, 5180, 01f1, 0
5f9b, e614, 3d85, 2cf4, 0
f2ed, fa83, 56a7, e4e8, 0
2780, f152, 30c2, 0378, 0
29df, 23e7, 9456, fcaa, 0
16ac, 3232, efc1, b5f2, 0
d08f, 3f67, 03ee, cc43, 0
d3c9, e4ec, 1b20, c5f0, 0
a8fa, 135d, f8dd, 26db, 0
2050, 0ec5, 468a, 2517, 0
f29f, 2aae, 0a05, fa68, 0
e568, 03d8, f205, e788, 0
14db, cd4a, bb5b, e59c, 0
f754, b4b6, 0d33, e1f0, 0
6328, 18a4, 4370, 34b5, 0
1c6a, 183c, bc4a, cb09, 1
918e, fb8f, c7ff, fb9a, 0
296d, fa22, 6812, 0c65, 0
b3ae, 1ce7, 9245, f62c, 0
ce51, d02e, fb20, 3110, 0
fd56, 746c, a2b1, f87c, 0
0011, 9862, 2acc, d48d, 0
ea44, a778, bd57, 3a84, 0
d055, 18a2, 1f53, c0f0, 0
67fc, f66f, c05a, 3747, 0
bf38, def5, 07c5, e687, 0
174d, 422d, 1e1c, f5c7, 0
2614, 147c, 082f, 9831, 0
c924, bf0c, 1dde, ada0, 0
0813, 669f, 08bb, ce93, 0
eea6, d0c0, fda2, 9714, 0
e0a3, a319, 360f, 1a3e, 0
cd79, d330, fa53, 483c, 0
fc33, 04a2, 0770, 704b, 0
e547, c632, eaaf, 0fb4, 0
e678, 9dd4, e855, e3de, 1
2a62, c919, fc17, d3e7, 0
417d, 2af4, d61a, 3b2e, 0
2971, 22dd, 1719, e9f8, 0
f2e4, b396, 3224, 4211, 0
0136, 179a, f33e, 3d50, 0
a303, 199c, e387, 09b1, 0
11f1, 1c8f, cd64, eafa, 0
e6f3, 3a9d, f793, 4a37, 0
f880, 3aae, 9d9c, f5db, 0
3569, f08a, 667a, 047c, 0
1511, 1249, e18b, b0d4, 0
dfcd, a889, ca7c, 257d, 0
306a, f480, 1c83, 15ee, 0
faa3, b6d2, 0c15, 3914, 0
298c, 3f25, 0431, f9f6, 0
e329, 12f9, f81e, db4c, 0
fbdd, 8688, 0e67, dea4, 0
ef46, cbd4, 9edc, 0961, 0
3061, e5a9, ae4d, e51c, 0
f022, 3a97, 388d, fb12, 1
2a24, fabc, 0131, 5c7a, 0
d24e, e9fc, fb45, 1089, 0
ff39, c3b0, 2419, 19fc, 0
e034, c43f, 9c7e, 0a97, 0
e9cf, c7d1, 1b6c, a610, 0
097d, b425, da2c, f5e9, 0
be91, fd4f, a5d1, 1cc0, 0
042c, 3a42, 20a5, e454, 0
1f23, 5b0e, d236, 3344, 0
16c9, b3d2, fa6e, 64a4, 0
4c69, 270e, 1c45, eed7, 0
f67f, d031, 3b9c, 2bfd, 0
f9a2, 21ea, fa1b, c4d5, 0
3101, ef6e, f556, 52e8, 0
d84a, c552, e8be, 5a6e, 0
a706, f3bc, ecb9, 362f, 0
419c, d599, c488, f4ae, 0
1eec, e7b4, abce, de2f, 0
0f76, 9b05, b3a3, e3f3, 0
0507, 46e8, d373, ef52, 1
a40c, 1cbd, c0fe, c450, 0
3951, 221e, d477, b5f4, 0
b842, ec60, 61c6, ef02, 0
b614, f929, 3678, e9db, 0
ac73, ef13, 0e82, 373d, 0
f9bb, ef57, d8ac, 15e1, 0
c8d2, 1981, e83b, f79c, 0
c6b2, d4ce, 58f5, 20eb, 0
d209, 2290, 94de, f426, 0
0df0, 97c2, bdc7, 1642, 0
122f, 4706, 2643, ff9e, 0
40a7, 220a, 1e56, a869, 0
09b1, 9d03, b381, 10c9, 0
446d, 0a0d, f10f, 51d4, 0
39ff, edb3, 5ab0, 014e, 0
d400, 10ed, 1f90, 4a8b, 0
07c3, 563b, ac0e, 2a1b, 0
e94f, 9ed2, d073, ee93, 0
bc17, 095a, ceb7, eace, 0
d99b, f69c, 2034, 5bd5, 1
d351, 2fe9, e989, b123, 0
15b7, c5a0, aa66, 052d, 0
ce0e, 1771, b35a, 1b6a, 0
f249, c84c, f32b, 9b4f, 0
d8d3, e365, 03c6, 7009, 0
401f, 2588, c8dc, f7a2, 0
ff1f, ac86, 013e, 0784, 0
eab3, f11b, cf3e, 3c8e, 0
57ac, 0e07, 30c7, e5eb, 0
4a25, d688, f4a3, 535b, 0
1f6c, af12, 021d, cc5b, 0
2436, be6b, e504, a9bf, 0
223e, 5baf, 0298, f855, 0
0eeb, 08f9, 1487, 03c9, 0
15a2, 9a14, e1c3, deac, 0
429f, cfd4, f8c0, 0d85, 0
1696, 5b11, 2381, 2b6e, 0
c4d1, 26dc, 0126, 8bc4, 0
2302, c462, ff62, 5a8a, 0
1d38, 20af, e835, e602, 1
db17, 1320, 4f65, f837, 0
00d0, 60a2, a822, 0bfe, 0
e273, a047, ec9d, b9cf, 0
d834, c5e4, 1a98, a56d, 0
0fbe, 9704, 5299, 12f0, 0
3415, 3cb0, 5640, 0b1a, 0
5e59, ee67, d5a6, 0011, 0
376a, 26db, c605, 0dd0, 0
ffdf, 4579, e340, f03b, 0
2fac, 3ee3, 6207, f14c, 0
96ff, fdad, 10ea, fbf1, 0
f8ad, 66c9, 3fa0, 1a90, 0
63b4, 167d, 3cc1, 1b99, 0
ddd9, e367, cb6f, e3c0, 0
db30, db2b, 4b07, e03f, 0
ea98, e4b5, b672, ffae, 0
f357, 91ae, f34c, 1378, 0
d19c, 321f, 08fe, 33aa, 0
0ff4, 05bd, c85e, bddf, 0
8d58, 0834, 4fc5, 06ed, 1
fd16, 6aa3, e1df, 2023, 0
7410, fbc6, 26f0, f232, 0
f3a8, 44ac, a92f, 0602, 0
4716, 2765, 53ff, fdb6, 0
f15d, dad5, 002c, 6cc5, 0
3a93, f0f6, 314a, deda, 0
d6e1, 344c, 055a, cae3, 0
9e12, f8ef, 259a, e24d, 0
ffac, 0ca4, a11b, 046a, 0
ce9e, bc7f, be86, 3a01, 0
1138, f760, 591f, e166, 0
9e78, 0e44, 3779, e456, 0
dbd9, ecd0, 17a4, bf95, 0
bfea, f836, d8bf, cb81, 0
0842, 357c, 3d36, d5a9, 0
b017, e091, c6fb, 133e, 0
f17c, 2ed2, 3c95, 1a99, 0
a25b, e02c, 54ae, f57c, 0
0b75, 31d5, a0c0, 1181, 0
2f2f, 363b, 0fd1, d3e0, 1
8e1c, 0ced, 2627, 4958, 0
2298, 558a, c68f, cca5, 0
1f29, ff99, d92d, 3fdb, 0
2752, 2e4f, d1b4, 210f, 0
f54b, 3c51, e875, 122b, 0
3464, f981, 30a4, de78, 0
f5b7, 3ba4, c3b9, 2066, 0
b808, 3276, 204e, a557, 0
bd0d, 3917, c828, d79c, 0
498a, ff21, 237a, 2a4f, 0
2d52, b218, f79f, 48f1, 0
ecb6, 53ce, f98a, b4cf, 0
134f, 3a5e, 2b31, b0a7, 0
f8b1, 149a, ef8c, b18c, 0
2fd8, d603, fdf9, a1cd, 0
10e5, 2408, 1a15, ce21, 0
1c50, f6bb, 0f59, a0ad, 0
fecd, bc87, f822, 5c09, 0
05c5, fba8, 1a41, ed50, 0
a000, 1bf8, 31be, 181d, 1
3d6a, eb1b, 3429, 0863, 0
f049, 6263, 478c, 0464, 0
1043, 307a, bcd1, 0176, 0
9c63, fcc2, e614, a3d8, 0
66f1, eb71, fa64, e880, 0
1099, eb55, fa25, 21a1, 0
a15d, fc4f, d23c, f4c6, 0
1e71, de93, 4506, e308, 0
cbde, 4a35, ca58, e3f0, 0
234a, e013, 2a77, 23e8, 0
670d, 103f, ec3a, 0fed, 0
fda4, 7069, 07af, 2029, 0
4062, fcec, 1801, a1cc, 0
d376, c582, edf3, c2ac, 0
eb6c, fd7b, 7166, fc5b, 0
f498, acfd, 01e0, 135f, 0
2dd0, eca5, 9b16, 1724, 0
25b8, 012b, f43f, 4094, 0
1ad7, 0dfc, 7999, 052f, 0
3409, 18f1, ff2a, b563, 1
e892, 3c8f, e29b, 3b61, 0
b7ed, f943, cc5f, 0ac2, 0
fdca, 668e, 9fc9, e760, 0
43e8, e0a7, d958, 0272, 0
2e45, f2ac, d6e5, d83f, 0
12ef, 4ebd, 180b, 655a, 0
0231, 928f, 025e, 67a5, 0
184d, 380a, e41d, b875, 0
e1ec, 1ffb, d4f7, 07f4, 0
f358, 66e0, 0516, 06c4, 0
9011, fbc3, 2931, b9c7, 0
8bb6, f9a6, 0b14, 64df, 0
063c, 633a, 0f59, 47d0, 0
2d47, ce29, 10ed, a77a, 0
6ee3, f20d, 0f11, 9e5e, 0
0fe6, 28f1, 35eb, e7c4, 0
384e, 289c, 102b, 0033, 0
1af9, fe28, e6a2, 11b5, 0
56da, ea10, 2709, 0318, 0
dc31, 3f97, d541, 4b94, 1
3328, 2835, 158d, 2a0d, 0
f986, 9fec, f27b, 3321, 0
d9b2, 4d46, cf0f, c15a, 0
54af, 11bb, bc15, cc9b, 0
78a5, fa51, b23b, ec99, 0
695c, f418, b168, d07a, 0
2579, 3979, 96fc, 0939, 0
c520, 2ca4, de59, d8cf, 0
1b5a, 2a10, b779, e887, 0
2fd0, fb8e, 0440, 73d4, 0
d1a8, 4235, 34b9, e84b, 0
1f5d, aa28, 3ed3, 2fea, 0
e88a, a71c, 760d, 09ea, 0
eae3, 0d31, 2621, b6f3, 0
bc51, c945, fd2d, 5053, 0
b356, faa7, e506, 3607, 0
fbf6, 3a71, 10b0, 2c0e, 0
10ea, 4d23, af7f, 192a, 0
167f, ba49, 1fb8, e907, 0
106a, fc8c, df10, d2a3, 1
d567, d3f0, f7e8, 1465, 0
f614, 8d94, 1189, 5963, 0
a737, 04e1, f7cb, e8b9, 0
fd33, 8f94, 258d, f2c8, 0
0e87, 2ca7, 1d07, ed10, 0
4193, cbd5, d649, 4209, 0
0d4e, ced3, 3867, d58b, 0
f492, 6672, c04b, 216f, 0
fb24, b3cf, ce5e, 46c5, 0
359d, e421, f427, 4c70, 0
32cd, dd90, 449a, 376b, 0
1dcb, 35c8, e911, 98e7, 0
cee4, 1d00, e2b5, ee09, 0
2c0d, 238a, 2b60, cf62, 0
d1e6, 3ff2, 58cd, ef8f, 0
40e7, 3e7b, 0cbe, 55ba, 0
c500, 10db, 1925, 50df, 0
b886, 0937, d99b, cdfc, 0
2e9c, 1714, 076e, ba13, 0
c108, e56c, 237a, ac93, 1
62ad, ece2, 4438, dcc7, 0
cd18, cd1a, 1858, cee3, 0
c74d, ee8b, ecb7, 2102, 0
bef6, 3ae4, 4032, f800, 0
d767, 5009, ce1c, ec61, 0
9984, 0cfb, 8394, 0054, 0
99e0, 0a66, 565b, 0ade, 0
e6af, a36f, 34d4, ed37, 0
b264, 29a2, 11e5, 6a37, 0
001d, fe3f, cc9b, c2b1, 0
fd2a, 10e7, d6fc, 56df, 0
e2f8, 4401, 35a0, 1673, 0
9b0a, ebd8, 546f, ef44, 0
59e4, 0d77, 14c2, 2bcf, 0
6be8, f251, 9f5a, 0ae2, 0
cd40, e046, c2f3, 4193, 0
ff3d, 3b7c, 6969, f8a0, 0
5ef4, fa39, fa7d, 04a5, 0
0e1b, 653a, 280b, 5674, 0
f195, 057a, 7291, 0992, 1
d0f3, efb7, fc00, bba2, 0
02af, f23b, 27a3, e978, 0
f1eb, f889, d116, e49c, 0
f072, d890, f710, 1d94, 0
d371, c4dc, 9954, 10e1, 0
34ea, 0620, 20da, c693, 0
1839, 4d16, 2853, b2d7, 0
ef1c, 59bd, 4a4e, ce26, 0
8b6c, 07fe, 74be, fa20, 0
31fa, c6c7, 4f51, 2091, 0
1ddc, fbf5, babb, 03cf, 0
c166, 2aa4, e7aa, f1a0, 0
12e8, 007a, fa66, 4d6a, 0
9ed8, 10c8, 0491, 8751, 0
30ef, 4960, 3264, f349, 0
f343, cad1, bae2, df7e, 0
cb04, 2a67, 0a69, 96ce, 0
25a2, 272c, 9a0b, ea82, 0
1d10, 30a1, 074f, 0e43, 0
1f7a, eded, b543, cd34, 1
d252, 3796, 0439, c7b2, 0
10cd, 272a, ea57, 20ee, 0
6c43, 09a7, c847, f8e9, 0
e39d, dc38, 2810, 436d, 0
2cbf, bd48, 1b69, 5cca, 0
2317, 5a3f, 207c, f4b0, 0
cc4c, 2aee, fa9e, 92e4, 0
16f0, 39cf, 3454, 1a25, 0
a951, 1231, dc81, 5246, 0
3fba, 1863, 5836, 0490, 0
b9ff, 2fe9, ee5a, e97d, 0
c5a1, f87e, 69df, f967, 0
ccd2, 2559, c5b8, 225f, 0
2255, e3c2, 03c9, daeb, 0
c656, 0217, fcda, b4d2, 0
4499, e73a, d18a, 0e15, 0
8a1e, f63a, 34c7, ea22, 0
242f, 348b, 1a97, 0b7a, 0
f24b, e3fd, 2061, 4911, 0
be63, 1514, eba9, f931, 1
29c7, 2971, fdaa, 8e9d, 0
e796, 0c7a, bcb9, dffc, 0
ab08, 0e7a, 3981, 2ee4, 0
f91c, 6768, 062a, b17b, 0
cdc4, 3606, 28cc, de64, 0
f5c9, 5589, e1a6, 2d75, 0
fca5, df28, dfcb, c00b, 0
23a1, 1660, afa7, dbbf, 0
0ebb, b1d7, 2211, b416, 0
eaf0, b934, edd3, b20b, 0
5fbf, e435, 1302, 261e, 0
a3f9, e33c, e3a3, d401, 0
1efe, f337, 3121, b80d, 0
0e58, 4fe3, 1d0f, 15ec, 0
cede, 4021, c4b5, c3f1, 0
d80f, e63f, 0d4c, 449b, 0
4f18, 2abd, 6dc6, 00c5, 0
9b18, 1060, d9e0, c2a4, 0
eccf, 12f4, ca73, c8d4, 0
091d, 0322, e488, 9c73, 1
fc52, 12ff, dd37, 4492, 0
1a7d, c41c, 3b6a, 40b6, 0
4146, ee57, 0fb8, b940, 0
164e, aa53, 0999, 51a4, 0
a398, ea6c, 4ff5, 1fa6, 0
244a, 0428, 4de8, 0ce2, 0
ed0d, e1d5, 1eca, a555, 0
b858, 2ea9, 99fe, f82f, 0
1483, d092, 1f86, 085c, 0
53eb, 0210, 53f7, ed28, 0
3039, e65f, 2fd6, 33ce, 0
e320, 0615, 1ed1, e8f3, 0
25f0, c9bf, f5ef, b508, 0
3773, d548, d0d4, c462, 0
d53a, af96, b7c3, d9d9, 0
44cc, c5e1, f69c, 2700, 0
dc5c, 4637, e55e, 233f, 0
5ae4, 1c73, ca3d, ebcc, 0
61fc, e851, 26ca, a729, 0
f42b, 3b4b, e63e, 326d, 1
ebdc, 2e6f, ec81, cad8, 0
444b, dbd2, d058, ffc4, 0
01a0, 86aa, 130c, 538f, 0
e506, c921, d708, 4ad5, 0
cfbe, 34d9, de19, 3ca5, 0
0d42, a472, 0484, 225c, 0
6f49, f259, 07ad, eb67, 0
17ff, a5c9, e758, 04ac, 0
a5f0, ecbe, eb4d, ea5b, 0
4069, d8ae, 691c, ece0, 0
e6e5, d133, 0bff, 5c27, 0
14bf, 4218, 0481, 2af1, 0
df44, 37e7, 1228, 4953, 0
45d5, 2cd8, 3710, 3e69, 0
401f, 0572, c168, bf82, 0
c85b, 0895, e124, f454, 0
e34a, 40ea, 1a42, d3b0, 0
0040, d11d, becc, 1844, 0
5ad1, 1f64, 1423, eca8, 0
abed, 0392, 0d5a, 0c43, 1
05fc, 8d42, 72a9, 0c7d, 0
36a5, de20, 4d95, d86e, 0
1b99, a3b2, 0f95, 93f5, 0
04d6, 708e, 0792, 4e7f, 0
faa7, aaf1, f420, f6a1, 0
295b, 2e69, d9cd, fa66, 0
0319, 20f6, 09d5, 42f8, 0
ef41, 1807, f60a, 0b18, 0
148a, 3a82, 2678, b482, 0
33c0, f142, c235, 38e6, 0
1e23, 3b93, f869, aa09, 0
270f, 3204, f117, cf09, 0
1bf6, 1059, 31b9, 009d, 0
07db, c989, 0f8a, b0b6, 0
1478, 4c78, 0879, ae5b, 0
2ad3, b538, 6cd8, f9b9, 0
f91e, 6a32, 1be2, 34e9, 0
d70c, 17dc, b4cc, 12bb, 0
0df3, 3f62, d069, e200, 0
44c2, ca3e, d059, 1429, 1
fbbf, afca, 8826, 0810, 0
2077, ce55, 99eb, e6e9, 0
fa15, 3783, 097a, 23dc, 0
f795, aebf, 5141, 2850, 0
2711, 2d9e, b8dd, f477, 0
0d25, b911, 0c2e, 1326, 0
8e4f, f2f3, 0bea, 276a, 0
e3e5, fe1f, d094, d344, 0
4528, cbf4, c63b, c87c, 0
0ecd, 4c01, 1506, 3295, 0
e612, 9a86, 0cfa, 9757, 0
