real_A1, imag_A1, tlast
d4bfdf, 28e9a0, 0
b173db, 3fd1b5, 0
20b9b0, 5ea09a, 0
4e2308, 335e95, 0
6be946, 0eb0f8, 0
3cf05e, 0cf218, 0
43d843, 284a3c, 0
fab2f6, c715c8, 0
89323a, 4061d5, 0
a66875, e16bbe, 0
103878, 5a0949, 0
e7ba1a, 3ef3c0, 0
1bc262, 4d4081, 0
aa0e86, ed7f08, 0
f8d423, 978c82, 0
dbdcbf, 2bc78b, 0
4b6655, a6577c, 0
60c1bd, f39429, 0
bff19d, 940629, 0
6ad013, 2cc0de, 0
fa4f37, 2cbc74, 0
d4c99d, 4437c3, 0
737de5, b17c5c, 0
ecebb2, 736a01, 0
f59161, be1474, 0
22d572, 371953, 0
e61ed6, 443b7d, 0
59e391, d2de12, 0
0ce0e4, bd1d5b, 0
d6c201, 678292, 0
feb385, 67e466, 0
7aedb9, f92c41, 0
f727fd, a95e83, 0
d28b08, aefa2e, 0
f2d35f, 153ae3, 0
bebf23, cc4fa5, 0
01dfa7, b68963, 0
85c60e, 9e4863, 0
1056be, d39ff8, 0
0adb21, 934d2a, 0
c5a68a, 310ff1, 0
d517a5, 27f565, 0
2436b9, 43a7c1, 0
66a464, 7f9ff7, 0
3d3137, c53aa9, 0
756df9, 8d2c34, 0
842289, c8c115, 0
341c24, 70846b, 0
6b6d0e, 70a04b, 0
9799eb, 51c20b, 0
79d3ef, a432e2, 0
a8cb01, 8d3299, 0
1e29ef, 4b61bc, 0
2e8701, 0966a1, 0
70520c, db4640, 0
cd5afe, ce9386, 0
a94dc8, 020e9a, 0
f94bdd, ef3130, 0
c1eb7f, 597f42, 0
7cfd06, 0dddba, 0
56a622, 09c70d, 0
d98c75, f602e7, 0
977b9e, ea6c4c, 0
d730d0, 8d4c5b, 0
cb88cc, d608ce, 0
91f235, 702248, 0
e04a92, 45b160, 0
be585a, ebdda6, 0
3ad6a8, 402b4a, 0
b7f958, 9620a7, 0
667f31, 99e476, 0
14dc91, 0644ac, 0
9b7d1c, ded265, 0
11d98a, 01594b, 0
9e4189, f69f57, 0
796be0, 93178c, 0
8d4e9e, 372059, 0
fb2605, f89175, 0
ce770e, 9a5dff, 0
a9fcb2, b72959, 0
6a1434, eb12a0, 0
e81eb5, 21523b, 0
8a6259, 0c4d55, 0
2c249b, e4ff9a, 0
e80227, 0f3f13, 0
36f149, 6e0ce2, 0
99bfa1, f5c956, 0
094837, f2136c, 0
e86581, 69274c, 0
e881ea, 6ad731, 0
fb30f0, c7e2b0, 0
e6fdde, 53ac9f, 0
c2d12b, 065093, 0
04e375, 3527f2, 0
4e1fb2, b665dc, 0
349a47, c0c39a, 0
5cc292, 338555, 0
e41c96, ba95f1, 0
064c20, 69d5f4, 0
3a029b, 334fef, 0
e4e479, bc8f9c, 0
245070, 8810fd, 0
0f7ba5, 55bb1a, 0
647731, ae792b, 0
28634a, e8f78b, 0
243b80, a04bf2, 0
427888, cf75cd, 0
420a6e, 533fe6, 0
06624d, 4ed2b3, 0
c957ef, c97bf8, 0
74e4f3, 395b71, 0
faf9b0, 9d5a45, 0
cc77ae, c9149a, 0
452a88, c3fc27, 0
f1bd2a, d0ae4d, 0
9ddf9f, d69408, 0
de0f3a, a438cc, 0
cca134, 6a28b3, 0
51c614, 803c6a, 0
1f8ba7, 96c754, 0
a18540, 3b23d1, 0
d99e0d, a666ee, 0
5cd50e, 84c1f5, 0
7b55c9, 5f7f85, 0
947eed, b44c62, 0
808488, 47d4e7, 0
9e6b96, 66ebd0, 0
f0ceb5, 96d048, 0
be5c04, a342da, 0
c007a9, 2bfa15, 0
a0a2b3, a5122e, 0
8d6544, e27095, 0
a8f90a, fb1d08, 0
6761c8, 3ace93, 0
ccbf85, 62f798, 0
b008fc, 79efd1, 0
e9be78, 528330, 0
25d023, b94878, 0
871ef6, d76df3, 0
32203d, 4196cb, 0
135de1, 8f6f13, 0
4572c2, 88ff81, 0
0d7d98, f3d9a5, 0
275a0b, 3527b4, 0
73756b, 9f6697, 0
f881e8, 9ccdd0, 0
c999fe, 028cb8, 0
ca1a7b, 548906, 0
d119a9, 87f4c6, 0
5eed31, 09e12e, 0
622951, 6490ca, 0
179504, 327bb7, 0
ad8835, 92b735, 1
14a81a, 7f0551, 0
088ccd, 58eedd, 0
cb69cf, 1c2e09, 0
b18050, c531d2, 0
e7f598, 89f128, 0
ecce96, f6337c, 0
f1c82d, b8dcb8, 0
03242b, 7c46e5, 0
b64a31, ff6744, 0
897307, 5831c6, 0
595ece, fc9d2d, 0
732310, c34298, 0
1ede2f, a0ec6c, 0
c16435, 5d10af, 0
904f1f, 70bb57, 0
10e640, c6153b, 0
79c88f, a53ca3, 0
6ce6da, 1d7837, 0
13b217, 74d504, 0
5f85a5, 98f920, 0
b0c2ef, 5b14c3, 0
ae44d4, 9cc306, 0
01957b, ecf4b6, 0
3e4502, 367e12, 0
e3bfde, bf33b5, 0
7fd2f8, 4cd3e5, 0
35642c, 895a3d, 0
4ee15f, a2d243, 0
c3127a, d46501, 0
a83989, 37a99c, 0
4e7b55, 315468, 0
92730b, 880640, 0
015486, fa13d9, 0
3ce4b7, 8f5083, 0
199e8b, 472991, 0
63ac9d, e5024c, 0
ff0a82, c903e2, 0
927cb2, ca9208, 0
b889af, ac6da2, 0
adae36, 311419, 0
08d213, 131868, 0
f3cda3, b81505, 0
65c062, f7dee4, 0
c15edf, 6de6b1, 0
706f0e, 701c9c, 0
312046, 98531a, 0
9ccb5b, 2002b1, 0
f7e3aa, 41e363, 0
3e5c86, 49255d, 0
3a9242, dbefc3, 0
758b1e, e7b891, 0
ba9d69, c80804, 0
ab842c, bbaf9d, 0
3fd429, 42c004, 0
0d0be3, 8e0152, 0
2a9c24, b443ce, 0
371607, 59bdda, 0
51601f, 09a3a7, 0
552897, 2e9e0f, 0
7eb9e9, d85bc4, 0
e3696d, 3e9b8e, 0
150aea, 427019, 0
c87815, 3f30f1, 0
868e0a, 44bb17, 0
3e8ef2, e4c14f, 0
f1380f, f89fb0, 0
5f9c49, 10cffa, 0
992002, 42df6b, 0
8422b3, ce40ba, 0
d509be, fe4075, 0
6c39ad, a83fc9, 0
ab828c, e42efe, 0
6c9ae6, 7a2fb0, 0
6b1524, 75b970, 0
43018c, 931374, 0
e52561, 1db6d1, 0
a7a950, 7354a0, 0
53bcef, 8f8af3, 0
486892, 571e47, 0
2c3fa0, aa5f13, 0
886bad, 57d919, 0
e42ef9, ed9fb1, 0
7f66be, 4a2061, 0
9be0ab, cb20c9, 0
cc03d6, 4fffe9, 0
e0935c, daca91, 0
caafca, a6f99c, 0
bf203d, a3ec3b, 0
13261a, 6055da, 0
7d6260, ea7dd8, 0
44f98b, fa9590, 0
503bf3, 6f4530, 0
17fbde, 860c4a, 0
492a13, 57ac84, 0
da61db, 0dd760, 0
0660a8, 9909e5, 0
ca30ce, 810e92, 0
e59148, 7b61d8, 0
4b8d25, 420931, 0
316cb3, 9d7314, 0
c13541, 8eb0a0, 0
c847a6, e0831d, 0
accd85, b18d7d, 0
a16649, 402517, 0
2533a7, e1d7d5, 0
6fdb44, a36493, 0
5751cf, 31d9f8, 0
d98ab0, 9dd4f2, 0
d73d2c, 50da89, 0
1c8a69, 6e9371, 0
6d7366, bcaafe, 0
001a77, 7a14ba, 0
e8d317, 85d044, 0
6683a2, a92941, 0
f15beb, fc2416, 0
73d9ff, fc86bc, 0
dd4da5, 593297, 0
f3ac0b, bac175, 0
d258bc, ae38ce, 0
0c375f, a364af, 0
c0614f, 9a10a9, 0
305215, 43507a, 0
a9b6c1, 210572, 0
0c44f6, dfe117, 0
585c73, 042045, 0
b41bc0, 160bd3, 0
cc5cba, b4510e, 0
d73bd3, a5dfe9, 0
5b62b5, 6e37b6, 0
c0c1bf, 651678, 0
d36166, 1e14b2, 0
b3fb14, dc55dd, 0
257def, 52237d, 0
ab9463, 497664, 0
7abb8d, f08d5f, 0
70169a, b9a1da, 0
afdf20, eab20f, 0
caa31e, c92fe9, 0
2e67a7, ca26bd, 0
7ed242, e21432, 0
909756, 9faacf, 0
9a2bf9, c1b511, 0
2ef28d, bd36b0, 0
95d822, 6d0e3a, 0
49a989, 9e09f7, 0
eb757f, 1a4c67, 0
7ef3e3, cce7b4, 0
40b21b, 110da4, 0
4d9a3a, b13acc, 0
d2c8c3, 7e0230, 0
cdc240, bbf432, 0
6281fb, 1279db, 0
536e4f, 983c63, 0
8e1cfe, 719a14, 0
94c259, 8a2657, 0
adea71, a36442, 0
b0150c, 63291a, 0
30ff67, 8a1b64, 0
cc5192, d04198, 0
776b6b, 600f4f, 0
7edc3a, 83830d, 0
e77fa3, 43378d, 0
782f5a, e89682, 0
a7e285, 1164e3, 0
d1f9c1, ad25ff, 0
37ed6d, 6310bc, 0
87aac4, 5269fe, 0
3741fa, 271b58, 0
6494ea, 8f2cb4, 0
daa079, 20ce64, 0
b386b7, 4ca4ea, 0
d4daa3, 9664f5, 0
787db0, 8c31d3, 0
cc78e0, 9a33aa, 0
5be803, 4c1179, 0
f2669d, 5b8e37, 0
ec272f, 44ca37, 0
a85f55, b5869b, 0
77cfa5, 718f42, 0
be1788, 6867a5, 0
c493fe, 01177b, 0
f63b16, 839e06, 0
ae5526, 1a6f18, 0
ac43c8, 6f7ca2, 0
7dcdde, 8276ff, 0
63efb0, 17aa06, 0
406913, 5700fb, 0
8a92a8, 6cd13a, 0
6a24e4, 72e4f0, 0
1ec518, efbf7b, 0
7bce59, 37bc99, 0
7fea22, 638aae, 0
7542db, a2a0bb, 0
4efe9a, d1ff84, 0
6d8e93, 63d1fa, 0
cba2b7, 02ee37, 0
0fd61a, e6632d, 0
7103e8, 56abb0, 0
2c7f28, 7200f8, 0
1ce7b3, 3c1a9d, 0
061ef6, 54fa61, 0
a8c310, a12aa1, 0
cbac6f, 63c47e, 0
f3b681, 48b320, 0
2e139e, a453f2, 0
aa5003, d933da, 0
b86335, 4b24a0, 0
ca3098, 1b4fd6, 0
80ecd6, 797949, 0
253d2c, 142db1, 0
7f9df9, ca95a2, 0
fcd5f6, e43610, 0
034b29, f80c73, 0
4a6a01, 4b6828, 0
ea28a5, b0bc24, 0
af24ed, 588c0a, 0
490ca7, 40ea9f, 0
15525a, 37b8fb, 0
685879, c42d8a, 0
fceaf8, 5333ee, 0
be170a, 6c7ef7, 0
d93fb1, 970bc5, 1
dd36bc, d28f9d, 0
7a5e09, ab9ad9, 0
4ab80b, 1f23e8, 0
f1a2ca, 8ec313, 0
e53b16, a840fd, 0
12a5c4, a6dd07, 0
44c387, 6aff55, 0
1a9a81, 33b603, 0
dcf28b, 7b0326, 0
89ce2f, cabc46, 0
b56e95, bab0a5, 0
a1b39d, ffbf04, 0
73cc64, 09bf6c, 0
299e86, 9f8194, 0
7c0b0c, c01d38, 0
47f085, 683b6c, 0
b7f947, 2ec38a, 0
3fc231, 03bf1e, 0
658c18, 4f9cc9, 0
384939, f52a67, 0
396998, f26a93, 0
77d9ea, 2256d0, 0
163c8a, b42570, 0
c60358, fbc567, 0
afaa57, 2df5ee, 0
7eb18e, 0b7231, 0
cfd8cd, 5efc14, 0
4b1fb3, 9e5208, 0
02c275, f7fa67, 0
40eab3, f7e64e, 0
afa1aa, ffa730, 0
58e190, 4764ef, 0
13235f, 66e151, 0
e19dd4, 6fad9e, 0
d55283, 020059, 0
fdb526, 0b44d5, 0
62a4dd, 0ad2d8, 0
34923c, 6efe35, 0
8833d7, 56c9b0, 0
3e4e08, bf2688, 0
b569b7, 31bacd, 0
43fca8, cf42be, 0
a98273, 9fa654, 0
ac3ad4, 1988cd, 0
908b94, e14623, 0
6df359, bf0928, 0
a8f365, 382828, 0
d42f92, aed99d, 0
ffdcad, 8629a6, 0
c9ce5d, e395c1, 0
424b38, 9c940f, 0
79b126, f0585a, 0
0d16db, 37e763, 0
6e1ac3, 569498, 0
2eb56c, a5ca60, 0
83481a, b2ff5c, 0
3bdfde, 813c09, 0
3c8544, affef7, 0
efcaae, 870343, 0
a97870, 3e08f3, 0
33d195, 8f11b4, 0
ec250a, d062c3, 0
3181f0, 41dda6, 0
7d7625, 89a03f, 0
f88585, f46783, 0
b979b5, 868edd, 0
65c90f, 17a035, 0
82865b, be51f5, 0
0eb640, 20a76c, 0
b6a434, 103ccb, 0
39d37d, 6544dd, 0
4ab0bd, e63eae, 0
fc727e, 9ed9ff, 0
eb4fbd, 3f8b5a, 0
a793f1, c14bf0, 0
774d27, 9aaa20, 0
49e09c, 3fef15, 0
49844a, fb2788, 0
1ba409, 29f7e4, 0
bd93df, 50a511, 0
fce823, ba33c5, 0
4818c3, fb06a3, 0
433d9f, 7b85c7, 0
97c0e3, 570bbb, 0
f4d7e1, 580955, 0
4d0ca5, d1cc98, 0
29d9ac, 0d1365, 0
e4184d, 3f219b, 0
9744ac, a3d350, 0
956552, 6ae787, 0
115a24, 052eab, 0
be0c09, 3f5835, 0
421ec0, 0690c8, 0
ea72ea, 908b8e, 0
85c0c9, 22f5c7, 0
2ea1c3, 7bcc08, 0
f819c7, 7ac1a5, 0
48fb9b, 7508a9, 0
384deb, 6a5fe2, 0
ff085e, 37f582, 0
80f0d7, 2e873d, 0
2fdfd7, 845232, 0
22ebce, 941ef5, 0
188f67, 18e64a, 0
a71b1f, 7b8c7b, 0
a5d788, c2e0d3, 0
37881a, 240a3a, 0
4672ec, 2ac053, 0
a5780c, 0f0c9a, 0
99e6f2, 2abf71, 0
0c9abc, 3d4eb3, 0
4e8743, 74fe89, 0
9b3ac0, cc3d19, 0
1827df, 72c3ce, 0
7aacac, 332b14, 0
1e51c9, 37d111, 0
44f593, a548c8, 0
e486bc, 2ef76a, 0
e89b24, c7728b, 0
a7fb9e, 7b775f, 0
28050f, 72f488, 0
56ce70, d69d05, 0
e1dd60, af3423, 0
d13217, b1a41a, 0
096b28, 18a199, 0
1e80d0, 6bf560, 1
36beac, 4d4565, 0
02b430, a9b51b, 0
e02262, daf48e, 0
7e5595, 08a869, 0
358761, 50d56b, 0
b79c5b, 86866c, 0
e7f980, 6374a0, 0
b2cff9, 3cf8c2, 0
06df5f, 799c0e, 0
514271, bbedd0, 0
0c0f8f, 59358b, 0
02749e, 812dfc, 0
d1b398, 17354b, 0
25bc8e, e421c4, 0
bd66b5, b9323c, 0
74748a, 398f4f, 0
bb659f, 9e3a14, 0
ed3cf6, 97fc19, 0
044c72, 50b7bb, 0
458b6c, f13989, 0
5b976f, 0e17a2, 0
6af69e, 5337bc, 0
3b2f1f, 11faff, 0
5b2f7d, 19ebb9, 0
22be45, b902d7, 0
a18609, 413925, 0
9b1394, 72d712, 0
453ab4, 98f777, 0
05d6e0, 74fa67, 0
3ccace, 6aa870, 0
ada52a, 123e15, 0
41d7e9, fec212, 0
afe083, e5ff33, 0
ae7bfe, 61e0fe, 0
009e13, 0e3ee8, 0
a7041b, 403566, 0
7c3221, 3c897f, 0
1351e9, 7bb116, 0
ab7ce3, e7be81, 0
4696ad, addd9b, 0
357640, f2c0ef, 0
d30a2e, 15e47d, 0
3e018f, 9424f6, 0
6bb0fd, a42e5e, 0
8ff59b, 53be72, 0
14af69, 26e247, 0
fccae5, 3092df, 0
b62fc4, 033210, 1
228ddf, d27a72, 0
aeeaf1, 0e7811, 0
a77665, 6c62da, 0
f072e1, db8b26, 0
fd425a, 006f83, 0
476568, 78e035, 0
876fb7, ab673a, 0
d3e710, 0b0ff4, 0
1253df, e6a650, 0
b370f5, 7be0b7, 0
a87263, 46ef6d, 0
fe5478, 2db119, 0
65308c, e7d8e8, 0
f5f942, 4c313b, 0
5f7ee4, ec89a1, 0
1d1b58, 303c9e, 0
2c1f94, 9dca9e, 0
747c01, 5511aa, 0
a33b9d, 0ad61e, 0
f85c3a, 71426d, 0
71a52d, 2699da, 0
9d1641, e41aca, 0
e25e08, 96a15d, 0
7427da, ff424c, 0
63198e, af173b, 0
4fc0ab, e43c64, 0
a309f3, 153a60, 0
47418a, 2d2ac2, 0
d7c1e5, e94199, 0
7654d4, 093c4c, 0
72c437, 61e104, 0
6e722f, 425704, 0
809d33, 53f96b, 0
9d5c3e, 7f5ea5, 0
135b5f, 064bb6, 0
5462eb, f53158, 0
db4f1f, 80f82b, 0
433345, 954ff8, 0
2f93f6, 34fac1, 0
792baa, 3b99d3, 0
cc1793, 11c49a, 0
3e5332, d5cf44, 0
76ad59, 4877b3, 0
3c5939, e879b2, 0
b13987, ecab47, 0
84564c, fe751f, 0
f403fc, 8fc59a, 0
065623, 9701bd, 0
cf9637, 2018aa, 0
00f04f, 78a86b, 0
f5fa51, 83429a, 0
c4674c, 7125f8, 0
094a32, 1a4ce3, 0
68f893, 729ca5, 0
f1f9d0, 4221bf, 0
43deef, 0364be, 0
8b39db, 06f988, 0
0d0b72, 415650, 0
836515, 66ae98, 0
e49d6e, 3122a6, 0
957424, 34f411, 0
7f369b, 288551, 0
eb731d, d18ad6, 0
c28147, 3b7f31, 0
fea510, 238fbc, 0
daa44b, beb27f, 0
a10b11, 446bea, 0
162e73, 3b997a, 0
984310, bfb43c, 0
f26ad0, 829f69, 0
52a8eb, 748321, 0
628f7e, 1f0f9b, 0
74e539, f7905d, 0
9be4ef, 5ac8d0, 0
887656, 966773, 0
58f934, 3c89fa, 0
06b499, 485e75, 0
357d52, 9289f6, 0
3c8da5, dfbed6, 0
7dfa27, b5da83, 0
c2a780, 2a44f5, 0
4b1773, 6fbafc, 0
f73f9c, dbf058, 0
5df508, 84b422, 0
be0f42, 0d84d9, 0
de1a2c, 8d892d, 0
cad22e, dd39c6, 0
a2737b, 1e4779, 0
2e0114, 179a0e, 0
192260, fa5478, 0
d45fef, 97d84c, 0
5ad96e, 13ccaa, 0
0cbee3, d40caf, 0
1b084c, f287c2, 0
855d6a, 1ee42a, 0
a297bf, 8cc5d7, 0
10b8c8, efae70, 0
cea7e9, 35a301, 0
b11f21, 5fa2fc, 0
0f629b, 00cad7, 0
a7b77d, 013c4c, 0
8b928a, c677a9, 0
bdf306, 898369, 0
4517ff, 3dadb0, 0
9e653a, beeb4e, 0
383cf4, da1862, 0
6da22d, f4a035, 0
a823ad, 48eaac, 0
1aeef6, f2dbde, 0
c9ddef, cb6a9e, 0
e4649f, 2f8023, 0
ff8121, 510369, 0
5b6c1a, e0327d, 0
f3970a, d3d4ed, 0
f0a07f, 091789, 0
4ea087, 32bc32, 0
3b78f1, c18b81, 0
0df5d4, 272a16, 0
c9a5c7, 2f3d7f, 0
deaf16, 996cf1, 0
fa452e, 220ba5, 0
45aedc, c3cd0d, 0
76f5e8, 188a3b, 0
27e1db, 3f1794, 0
053df7, ae5473, 0
75033f, 336248, 0
10b758, 34d316, 0
6f8060, 63f5c2, 0
834a0a, 5a94e4, 0
bee8d6, 56a915, 0
e7b6c7, 3d25fb, 0
37430e, bd79b4, 0
9afea8, f148eb, 0
f2c88d, afadc2, 0
dbfaa1, 72cf25, 0
a65c69, f28145, 0
ca92fb, 76081b, 0
3d2e41, 40cea5, 0
0a71e7, 6949c9, 0
473851, 169e4e, 0
d5a1c1, 0d5c0e, 0
5fb65f, a23856, 0
539e3d, 82ba7b, 0
84738a, e0417c, 0
ef6fbe, 0d82c9, 0
e9e183, eedc2f, 0
543057, 051655, 0
d6519b, d507ae, 0
fbfe82, 10c9a2, 0
440af1, 6dac61, 0
8fdaf2, 7eacf3, 0
245759, 5d7cfd, 0
cb9de7, 78ec1c, 0
accd07, 852332, 0
bcb292, 8181a1, 0
8eab2b, d36775, 0
ce88e4, 518aa5, 0
c0b270, 216dcd, 0
8193a4, eb23de, 0
0cf8d3, 7cb7ce, 0
74606c, 84363a, 0
ee5a6c, 9ab3c6, 0
3d82f4, 2bbcf9, 0
89eb7f, d63e5b, 0
caba21, 087cdd, 0
163d92, 361253, 0
db9b77, ca3fc2, 0
9d9e4e, a599e4, 0
b15d03, aeb043, 0
132b4a, 653d96, 0
e59186, 8e447b, 0
4c34c0, 165fa2, 0
ff3774, 786929, 0
f2a98d, 52707e, 0
82cbd9, fc2fb5, 0
29f683, 603a37, 0
59d018, 402afd, 0
38e9db, 08855a, 0
4993db, adb354, 0
d7fa56, 0b0ed3, 0
9f117a, 37c0b6, 0
688240, 715a0d, 0
555e7a, fe3a83, 0
b6c972, 2d49c2, 0
9f3517, 7ebca8, 0
882f4f, e4475e, 0
37b5d4, 3c7119, 0
74d340, 0355a5, 0
1ab1b2, 222ffd, 0
241616, 89ff07, 0
fb2315, a017b9, 0
014c6a, bbd1b1, 0
501cee, 600ad7, 0
5a9a8e, 85bc46, 0
738886, e7e0ee, 0
015d2c, 821f3b, 0
8d65aa, cbd516, 0
21f385, 39650e, 0
8b4126, 7a03dc, 0
3e59e8, 664c92, 0
4dbbbf, 8fcea2, 0
a434bf, 7d9030, 0
779a70, b77a3d, 0
fc1a56, fd0fb7, 0
6be7ce, ecf933, 0
2ba0de, f21176, 0
36a7f2, 88c4a6, 0
b80cca, f45ebd, 0
3f2925, 2a09aa, 0
5d3137, 930474, 1
87b8bf, bd6818, 0
21a1ae, b6df24, 0
5ddb2f, a67c75, 0
afccb7, a97b58, 0
aaec65, c60b56, 0
b6a311, bc5f7c, 0
e7f3d1, 4ef62c, 0
512c57, 3cb1d3, 0
4c526d, 8c0585, 0
2fba58, 34d3d9, 0
ef7cb8, d266ca, 0
bdfa92, 402176, 0
d06a99, f21b82, 0
ace165, 2103f9, 0
73dccb, 6f3d5d, 0
7cad65, fff07b, 0
c5719a, ff474f, 0
131ce2, b6eab3, 0
53e36f, 5d4f17, 0
0f062e, 92683f, 0
51800e, cd3736, 0
5c6053, c18177, 0
0e961c, e8f464, 0
bc1012, de308b, 0
598e3c, 864d78, 0
6d95d6, 564788, 0
2fda06, 3714e9, 0
